exchange,uptake,growth,comment
EX_no3_e,1000,yes,
EX_no3_e,0.0,no,
EX_no2_e,1000,no,
EX_n2_e,1000,yes,
EX_nh4_e,1000,yes,
EX_urea_e,1000,no,
SK_ala__L_c,1000,yes,
EX_asp__L_e,1000,yes,
SK_asn__L_c,1000,yes,
SK_cys__L_c,1000,yes,
SK_glu__L_c,1000,yes,
SK_gln__L_c,1000,yes,
SK_val__L_c,1000,yes,
